# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Sat May 23 04:18:18 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.17600 1.1730008125 2.5030803925    1.172  0.116  3.7385  4.297    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.06e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 4.480 5.796 5.373 4.601 4.134 3.766 3.273 2.878 2.824
0.0152 0.01508 7.17600 1.1948174238 2.5061780360    1.194  0.180  3.7473  4.277    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.07e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 4.321 5.491 5.153 4.416 3.974 3.619 3.151 2.778 2.728
0.0152 0.01508 7.17600 1.2000000477 2.5068948796    1.200  0.195  3.7495  4.271    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.35e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 4.281 5.417 5.099 4.371 3.935 3.583 3.121 2.754 2.704
0.0152 0.01508 7.17600 1.2212316990 2.5097586692    1.221  0.263  3.7582  4.247    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 4.113 5.116 4.873 4.181 3.768 3.430 2.993 2.645 2.600
0.0152 0.01508 7.17600 1.2435050011 2.5126424084    1.243  0.337  3.7677  4.218    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.926 4.800 4.626 3.975 3.585 3.263 2.851 2.525 2.484
0.0152 0.01508 7.17600 1.2500000000 2.5134610955    1.250  0.360  3.7705  4.209    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.870 4.708 4.553 3.913 3.531 3.213 2.809 2.489 2.449
0.0152 0.01508 7.17600 1.2557365894 2.5141760920    1.256  0.380  3.7730  4.201    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.820 4.626 4.487 3.859 3.483 3.169 2.771 2.457 2.418
0.0152 0.01508 7.17600 1.2783797979 2.5169263882    1.278  0.458  3.7831  4.171    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.625 4.315 4.232 3.648 3.296 2.999 2.627 2.334 2.300
0.0152 0.01508 7.17600 1.2999999523 2.5194498592    1.300  0.526  3.7929  4.149    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.454 4.049 4.007 3.465 3.135 2.853 2.505 2.232 2.202
0.0152 0.01508 7.17600 1.3250246048 2.5222527744    1.325  0.591  3.8042  4.138    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 3.294 3.793 3.788 3.294 2.989 2.725 2.404 2.154 2.128
