x,y,B_johnson,V_johnson,R_Johnson,BV,VR
741.6,106.4,10.799172434688,11.136867150116052,10.799172434688,-0.33769471542805185,0.33769471542805185
627.9,108.3,12.668772580667236,13.053545655999118,12.668772580667236,-0.3847730753318821,0.3847730753318821
584.5,118.3,8.75773380546341,9.195844824719176,8.75773380546341,-0.438111019255766,0.438111019255766
927.1,109.9,14.176778520031805,14.813668092244113,14.176778520031805,-0.6368895722123078,0.6368895722123078
569.2,116.2,14.868784692484162,15.18597049735173,14.868784692484162,-0.3171858048675684,0.3171858048675684
326.1,118.8,14.063364604637338,14.695296044546948,14.063364604637338,-0.6319314399096108,0.6319314399096108
495.8,118.5,11.886782718884543,12.081089324800802,11.886782718884543,-0.1943066059162586,0.1943066059162586
607.6,121.3,13.388611564912257,14.002278827953974,13.388611564912257,-0.6136672630417177,0.6136672630417177
474.6,127.7,13.048178712106536,13.409165013830064,13.048178712106536,-0.3609863017235284,0.3609863017235284
594.7,130.9,14.102670118851,14.89338185337075,14.102670118851,-0.7907117345197499,0.7907117345197499
444.5,147.7,11.61149268825713,11.872912309342231,11.61149268825713,-0.26141962108510164,0.26141962108510164
329.0,147.7,17.040026816421115,16.620000162221036,17.040026816421115,0.420026654200079,-0.420026654200079
84.9,149.8,15.279595553718858,15.108086322740307,15.279595553718858,0.17150923097855042,-0.17150923097855042
834.0,153.2,13.911800343141644,14.193338491463935,13.911800343141644,-0.28153814832229074,0.28153814832229074
231.8,153.6,14.87846920942815,15.763258212638274,14.87846920942815,-0.8847890032101233,0.8847890032101233
910.9,164.8,9.83785259928531,10.48289758527819,9.83785259928531,-0.6450449859928806,0.6450449859928806
246.0,164.5,14.213162887736685,14.802876462203203,14.213162887736685,-0.5897135744665185,0.5897135744665185
595.9,166.5,14.37417109584883,14.98196570556461,14.37417109584883,-0.6077946097157803,0.6077946097157803
212.9,173.6,13.453470881369327,13.958487254273994,13.453470881369327,-0.5050163729046666,0.5050163729046666
130.9,193.2,13.24884070361158,13.911063041185256,13.24884070361158,-0.6622223375736773,0.6622223375736773
917.0,197.1,12.367008982876524,13.07666760331224,12.367008982876524,-0.7096586204357163,0.7096586204357163
198.1,200.5,13.75057239190694,14.13917092528132,13.75057239190694,-0.38859853337437933,0.38859853337437933
420.0,201.1,13.50501782880263,13.938907584287232,13.50501782880263,-0.43388975548460174,0.43388975548460174
927.5,200.7,13.782679831622229,14.284396414505215,13.782679831622229,-0.5017165828829864,0.5017165828829864
486.7,214.8,8.88517780747867,9.027771347910958,8.88517780747867,-0.1425935404322889,0.1425935404322889
750.4,211.6,11.539006149893073,11.913979763617904,11.539006149893073,-0.3749736137248316,0.3749736137248316
693.3,213.8,14.477957278277264,15.010941394190942,14.477957278277264,-0.5329841159136777,0.5329841159136777
727.6,216.0,12.903983990812518,13.481868453345434,12.903983990812518,-0.577884462532916,0.577884462532916
234.2,219.0,15.943148359832437,15.20183345235077,15.943148359832437,0.7413149074816658,-0.7413149074816658
943.7,225.0,10.525763717538648,11.133808063140094,10.525763717538648,-0.6080443456014457,0.6080443456014457
654.2,239.5,12.070341176985451,12.473060959125965,12.070341176985451,-0.4027197821405135,0.4027197821405135
743.5,239.2,14.482713929596624,15.036702057385616,14.482713929596624,-0.5539881277889922,0.5539881277889922
940.9,248.4,11.923501951126893,12.600598168014828,11.923501951126893,-0.6770962168879358,0.6770962168879358
530.7,255.5,11.794957099038296,12.230847920691884,11.794957099038296,-0.4358908216535884,0.4358908216535884
572.9,256.2,13.340860495269194,14.07710788568638,13.340860495269194,-0.7362473904171853,0.7362473904171853
480.7,258.2,12.899855217223426,13.514006573616635,12.899855217223426,-0.6141513563932097,0.6141513563932097
343.8,260.8,13.740757814513929,14.223157258517686,13.740757814513929,-0.48239944400375734,0.48239944400375734
418.9,265.3,12.942110969366444,13.395753988483596,12.942110969366444,-0.4536430191171519,0.4536430191171519
468.7,269.5,12.561287179918708,12.9892201320026,12.561287179918708,-0.4279329520838928,0.4279329520838928
651.3,274.2,12.606071537025858,12.965700304190667,12.606071537025858,-0.35962876716480885,0.35962876716480885
976.6,277.7,11.895204344238172,12.196615286932577,11.895204344238172,-0.30141094269440494,0.30141094269440494
530.1,282.6,11.225403875487666,11.632848383546133,11.225403875487666,-0.4074445080584663,0.4074445080584663
316.1,287.9,10.869571563817312,11.403214479591108,10.869571563817312,-0.5336429157737967,0.5336429157737967
725.3,291.3,13.697855702388104,14.249559243913057,13.697855702388104,-0.5517035415249527,0.5517035415249527
671.1,295.5,10.32353542350192,10.618376900733065,10.32353542350192,-0.2948414772311452,0.2948414772311452
781.4,307.6,8.631007384712811,8.752267725898722,8.631007384712811,-0.121260341185911,0.121260341185911
283.6,305.0,12.3509897142158,13.228876263483716,12.3509897142158,-0.8778865492679166,0.8778865492679166
136.1,307.1,13.762702065702026,14.389079600969833,13.762702065702026,-0.6263775352678067,0.6263775352678067
193.0,307.4,14.670267031480208,15.231900948951392,14.670267031480208,-0.561633917471184,0.561633917471184
236.9,326.4,13.782071865076638,14.136763029002148,13.782071865076638,-0.35469116392551037,0.35469116392551037
325.5,325.7,14.645218370596616,15.029709018813234,14.645218370596616,-0.3844906482166177,0.3844906482166177
624.8,330.1,12.873087551721676,13.263235696639514,12.873087551721676,-0.39014814491783767,0.39014814491783767
146.9,332.7,12.334603865897783,13.107773518901372,12.334603865897783,-0.7731696530035883,0.7731696530035883
407.9,329.6,13.948980303598692,14.758478225626328,13.948980303598692,-0.8094979220276368,0.8094979220276368
417.7,338.7,9.626800042320172,9.893853188156,9.626800042320172,-0.2670531458358276,0.2670531458358276
222.9,337.2,12.148762372381196,12.684152067459769,12.148762372381196,-0.5353896950785728,0.5353896950785728
962.2,344.1,10.646380665333703,11.022671877082718,10.646380665333703,-0.3762912117490149,0.3762912117490149
315.8,345.1,11.064423937409329,11.881620148930342,11.064423937409329,-0.8171962115210132,0.8171962115210132
56.7,344.6,12.629449661530693,12.967530726935133,12.629449661530693,-0.33808106540443994,0.33808106540443994
286.1,346.4,12.418988040413792,12.920205314780707,12.418988040413792,-0.5012172743669154,0.5012172743669154
485.0,346.7,12.48621368647783,12.853144758502896,12.48621368647783,-0.36693107202506603,0.36693107202506603
739.6,345.8,16.621995572392418,16.506992265958523,16.621995572392418,0.11500330643389489,-0.11500330643389489
974.9,348.9,13.459134831186056,14.0847843107012,13.459134831186056,-0.625649479515145,0.625649479515145
489.7,355.0,11.692455279816585,12.119076958746714,11.692455279816585,-0.4266216789301289,0.4266216789301289
127.9,355.7,12.74057817997131,13.06258397077723,12.74057817997131,-0.3220057908059193,0.3220057908059193
928.5,354.8,12.155934488036644,12.812964067328544,12.155934488036644,-0.6570295792918994,0.6570295792918994
914.0,363.9,10.96014675100143,11.222294136894938,10.96014675100143,-0.26214738589350794,0.26214738589350794
489.9,364.6,13.502404312281728,14.155512125874582,13.502404312281728,-0.6531078135928539,0.6531078135928539
59.0,367.5,13.500030870659248,14.18881611996341,13.500030870659248,-0.6887852493041624,0.6887852493041624
808.4,370.7,10.375888864792076,10.659188312101572,10.375888864792076,-0.28329944730949563,0.28329944730949563
303.8,376.1,11.211574887484735,11.758995473478722,11.211574887484735,-0.5474205859939865,0.5474205859939865
870.8,396.2,10.569378281212416,11.150454047885114,10.569378281212416,-0.5810757666726989,0.5810757666726989
