ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R,V_0,B_0,R_0,B-V_0,V-R_0,SS_Blue_0,SS_Green_0,SS_Red_0,SS_BG_0
122.6909553042434,-48.957738774979816,326.10850020487186,119.01279135362095,14.559814590114826,14.57951639472621,14.05984197962618,-0.019701804611385,0.519674415100031,14.39351639472621,14.313814590114825,13.92034197962618,-0.079701804611385,0.473174415100031,14.374026727019997,14.409095521049007,14.034976862646186,-0.03506879402901042
122.51592211187076,-49.01850689355268,523.198703432548,127.42394905626615,12.266033520650527,12.517814776419891,11.766060910161883,-0.2517812557693641,0.7517538662580083,12.331814776419892,12.020033520650527,11.626560910161883,-0.3117812557693641,0.7052538662580083,12.226455711785226,12.363639464323747,11.787611683413484,-0.13718375253852066
122.298601710436,-49.0836126896308,760.9197064943158,124.35965326190836,14.327356951611012,14.533870233797254,13.827384341122368,-0.2065132821862416,0.7064858926748858,14.347870233797254,14.081356951611012,13.687884341122368,-0.2665132821862416,0.6599858926748858,14.259260319388344,14.37652616355029,13.839881519657345,-0.11726584416194541
122.28371445561318,-49.08760931120754,776.8960264480181,123.54025344169416,15.632740075930103,16.057305474661767,15.13276746544146,-0.424565398731664,0.9245380092203064,15.871305474661767,15.386740075930103,14.99326746544146,-0.484565398731664,0.8780380092203064,15.702016277131051,15.915225052572984,15.188875067285522,-0.21320877544193273
122.26157179792104,-49.1002067970581,804.9485550024219,131.46765341969382,11.51671862763398,11.715810446719438,11.016746017145334,-0.1990918190854582,0.6990644295741042,11.529810446719438,11.270718627633979,10.877246017145334,-0.2590918190854582,0.6525644295741042,11.443946473657817,11.55794687405542,11.027758903060153,-0.11400040039760206
122.56023830188688,-49.00500940148952,474.5471716179897,127.83626362974826,13.548367106793629,13.680542582234525,13.04839449630498,-0.1321754754408957,0.6321480859295452,13.494542582234525,13.302367106793628,12.90889449630498,-0.1921754754408957,0.5856480859295452,13.433437656321393,13.517994865515387,13.046024113490889,-0.0845572091939939
122.38487730976034,-49.05940916766393,667.639529605748,127.74374847914744,14.87965762992848,14.970298411264194,14.379685019439831,-0.090640781335713,0.5906133918243626,14.784298411264194,14.63365762992848,14.240185019439831,-0.15064078133571301,0.5441133918243626,14.73856132216998,14.804843265957693,14.369007697804703,-0.0662819437877129
122.02330720943674,-49.174603205672334,1067.1468705343243,133.2535845089833,13.701622855030813,13.822639134264316,13.201650244542163,-0.121016279233503,0.6209888897221525,13.636639134264316,13.455622855030812,13.062150244542163,-0.181016279233503,0.5744888897221525,13.57966311094792,13.65931027381066,13.197048022486593,-0.07964716286274154
122.17829295021748,-49.13034354001278,899.2908796058822,137.67116792968727,16.14068592855657,15.48082302449317,15.640713318067927,0.6598629040634023,-0.1598902935747581,15.29482302449317,15.894685928556571,15.501213318067927,0.5998629040634023,-0.20639029357475808,15.526772298996628,15.26283262120873,15.479935259352976,0.2639396777878975
122.44991300002434,-49.050165644501035,603.1386432040069,142.72226524794826,15.434014976095453,15.38096683319033,14.934042365606809,0.0530481429051228,0.4469244675835213,15.19496683319033,15.188014976095452,14.794542365606809,-0.006951857094877195,0.4004244675835213,15.202394646065224,15.205453463186972,14.894627259123512,-0.0030588171217473814
