ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R,B-V_0,V_0,V-R_0
122.32290967736532,-48.58435819664981,415.96664124598885,48.83921599881277,15.00884496977585,13.793637815695025,13.34354937052622,1.2152071540808258,0.4500884451688041,1.1452071540808257,13.576637815695024,0.4990884451688041
122.21309206565438,-48.622912721545134,540.6521365967327,54.86330025828677,13.623866439716323,12.82624825064346,12.649043915312523,0.797618189072864,0.177204335330936,0.7276181890728639,12.609248250643459,0.22620433533093598
122.1817939930058,-48.632244133884534,575.1049740222268,54.34158977105496,13.351115922344556,12.27390947955914,12.072957672623538,1.0772064427854158,0.2009518069356026,1.0072064427854157,12.05690947955914,0.2499518069356026
122.2962773655985,-48.59690383673395,448.278259061741,54.6710455591689,14.886260228568313,14.270061338202815,13.983394446490898,0.6161988903654976,0.286666891711917,0.5461988903654975,14.053061338202815,0.335666891711917
122.05253223930475,-48.672128841332665,718.2100936499514,54.21326691613244,15.477752712841136,14.095537713638214,13.998865261225854,1.3822149992029225,0.0966724524123598,1.3122149992029224,13.878537713638213,0.1456724524123598
122.22970346330412,-48.61865008660497,522.8097274280711,56.095293423646865,13.89793484142197,13.058895152738554,12.741944732784324,0.8390396886834157,0.3169504199542299,0.7690396886834157,12.841895152738553,0.3659504199542299
121.90819157978324,-48.72005096425403,880.0711498958923,59.06728470488855,12.44791948927811,11.724877443278148,11.62758187187861,0.7230420459999625,0.0972955713995382,0.6530420459999624,11.507877443278147,0.1462955713995382
122.42978029052622,-48.55708653187883,301.1997857044664,57.25072659480316,13.514533905257288,12.374442590806844,12.270256568635125,1.1400913144504443,0.104186022171719,1.0700913144504443,12.157442590806843,0.153186022171719
122.08325612551404,-48.66750037066603,687.3219298970547,60.892783949775,14.26046637684512,12.698938761123022,12.276611029016808,1.5615276157220972,0.4223277321062149,1.4915276157220971,12.481938761123022,0.47132773210621487
122.33205783028252,-48.589755083386684,411.1478115728492,60.17195976273667,15.4744151888347,14.546495928650783,14.07232298578621,0.9279192601839164,0.4741729428645733,0.8579192601839163,14.329495928650783,0.5231729428645733
