x,y,raw_flux,blue_mag,B_mag
687.972285878922,42.88910210654973,10649.224049823266,12.746856394116081,13.26920639411608
1036.1281685382344,40.616636571461,27369.647627860624,11.721978289590052,12.244328289590051
848.3748517905022,43.195675151154475,16433.836767322144,12.275803882495406,12.798153882495406
865.4434858175392,41.95495597034261,6978.421344575379,13.205758335264925,13.728108335264924
919.9268900847551,42.80480578777769,2636.9877786606507,14.262381012270232,14.784731012270232
1075.193063620013,40.05391237590997,-51.33758502491435,,
86.03724317135139,41.572723914255846,1408.7477375494934,14.943068225887469,15.465418225887468
120.98550891978628,44.55796164297278,669.7798625382885,15.750321089848708,16.272671089848707
876.1824394617192,43.846989366440155,23063.43127324256,11.907841504483153,12.430191504483153
346.00862896232167,48.09680774150985,27225.013793985185,11.727731033655521,12.25008103365552
433.0373437225944,45.890631144933934,2362.1944912840454,14.381862173865896,14.904212173865895
789.1380100267461,49.584953814457435,-268.63919011872935,,
968.3060066707743,49.11221696326478,2476.9106117429856,14.330375470367745,14.852725470367744
415.7933134475379,48.91893931143201,2145.1740466656406,14.486494969775851,15.00884496977585
993.7663687231069,49.344534622256276,-871.6176788754383,,
540.5710470292032,55.12602625958965,7681.639928316435,13.101516439716326,13.623866439716325
818.2032673714001,50.21166261513456,-725.9212968855554,,
575.1834244890615,54.368211630538354,9875.387661331264,12.828765922344555,13.351115922344555
448.51573678991656,54.59723503549791,2401.5765290883182,14.363910228568312,14.886260228568311
589.8650870505924,60.93414515299652,12562.575826277163,12.567454564519382,13.089804564519381
316.9917623630567,55.742806472177605,21340.008357011644,11.992164841921706,12.514514841921706
718.0697915586609,54.409656763669325,1392.8342474014441,14.955402712841137,15.477752712841136
212.29324310037157,56.022789440575146,-570.1332974858997,,
522.6875259491121,56.06072056843429,5967.969368154606,13.37558484142197,13.89793484142197
879.9271836533055,58.95134277732457,22689.907542936744,11.92556948927811,12.44791948927811
301.2914686462068,57.16658990769022,8495.461182142932,12.992183905257289,13.514533905257288
654.1764589218793,65.58870638140856,22775.647734013648,11.921474462199123,12.443824462199123
681.7753813762953,55.32862232255306,6535.77115179532,13.276909212104712,13.799259212104712
128.86600016600087,56.781968035223656,724.3366381717858,15.66530017206702,16.18765017206702
256.9648736553438,58.60687217602823,-1914.9091110530983,,
687.1790399271331,61.362269069196905,4273.797800249872,13.738116376845122,14.260466376845121
411.19273307706953,60.15035310520593,1397.122369974081,14.9520651888347,15.4744151888347
473.05937600317174,61.91552315725126,1141.4480844909049,15.17151089575529,15.69386089575529
377.65778656376466,60.7361838161438,-1705.7782293093371,,
559.3408072399145,61.350852855102346,7879.517526169711,13.07390224021119,13.59625224021119
35.019727191171675,64.03968076949836,1700.515673357786,14.738699707070559,15.261049707070558
772.8090567023277,67.69793610756848,14640.421150839848,12.401267379955225,12.923617379955225
494.9104820077748,65.03171990753205,383.3826122781304,16.3560702742352,16.8784202742352
750.417219038908,66.07226551739056,876.0043292580472,15.458885673633539,15.981235673633538
536.6628246158887,68.28857927200589,9465.756707071218,12.874762960198572,13.397112960198571
112.32717279755579,69.26322953622196,1128.2261699576813,15.184160881690511,15.70651088169051
402.0679847896907,70.10681213975131,985.8283827008263,15.330648010715773,15.852998010715773
162.6389631186253,73.11673966119477,-1753.342228325574,,
